"FM","FD","H","AT","Response1","Response2","Response3","Response4","Response5"
"Bees","High","Edge","Indoors",1.5,6.0833333,3.3333333,5.75,3.25
"Bees","High","In","Indoors",1.583333,6.75,3.5,6.208333,3.375
"Bees","Low","Edge","Indoors",1.583333,5.0833333,3,5.75,3.333333
"Honey","Low","In","Indoors",1.791667,6.75,3.125,5.166667,2.625
"Honey","Low","Middle","Indoors",1.916667,7.9166667,3.5,5.916667,2.916667
"Honey","Medium ","In","Indoors",1.875,9.125,2.75,5.25,2.375
"Water","High","Middle","Indoors",2.833333,13.25,2.9166667,12.75,2.916667
"Water","Medium ","Edge","Indoors",2.083333,4.0833333,1.9166667,4.25,2
"Water","Medium ","Middle","Indoors",2.333333,9.6666667,3.0833333,10.08333,3.333333
"Bees","Low","Middle","Outdoors",1.833333,6.1666667,3.25,7.083333,3.666667
"Bees","Medium ","In","Outdoors",1.458333,7,3.625,6.5,3.416667
"Bees","Medium ","Middle","Outdoors",1.5,7.9166667,3.8333333,7.25,3.583333
"Honey","High","Edge","Outdoors",1.916667,5,2.0833333,3.833333,1.916667
"Honey","High","Middle","Outdoors",2.25,5.6666667,2.0833333,4.083333,1.916667
"Honey","Medium ","Edge","Outdoors",1.666667,4.9166667,2.3333333,4.166667,2.083333
"Water","High","In","Outdoors",2.5,5.9583333,2.0833333,4.083333,1.75
"Water","Low","Edge","Outdoors",1.583333,4.5833333,2.3333333,4.333333,2.25
"Water","Low","In","Outdoors",1.666667,5.25,2.5,4.583333,2.291667
